
2024/10/29 (17:20:50) | ===> btop++ v.1.4.0
2024/10/29 (17:20:50) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.
2024/10/29 (17:20:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (02:00:17) | ===> btop++ v.1.4.0
2024/10/30 (02:00:17) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.
2024/10/30 (02:00:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (02:18:36) | ===> btop++ v.1.4.0
2024/10/30 (02:18:36) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.
2024/10/30 (02:18:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (02:52:43) | ===> btop++ v.1.4.0
2024/10/30 (02:52:43) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.
2024/10/30 (02:52:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (17:29:14) | ===> btop++ v.1.4.0
2024/10/30 (17:29:14) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.
2024/10/30 (17:29:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (22:20:16) | ===> btop++ v.1.4.0
2024/10/30 (22:20:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (22:20:19) | ===> btop++ v.1.4.0
2024/10/30 (22:20:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (00:51:53) | ===> btop++ v.1.4.0
2024/10/31 (00:51:53) | WARNING: Intel GPU: Failed to initialize PMU
